v3	v4	v5	v6	v7	v8
15.68	2.34	5.05	4.21	4.19	5.27
22.57	3.98	7.99	5.74	4.2	8.99
31.02	4.94	11.63	6.85	6.12	10.97
31.1	5.72	9.43	8.39	4.99	6.54
28.26	3.22	9.83	8.39	4.17	7.4
24.36	3.09	7.27	4.66	1.43	4.07
36.34	5.97	10.16	6.39	6.24	10.41
29.08	4.55	10.92	6.86	4.37	8.28
23.7	3.27	8.1	7.02	4.2	7.32
15.14	2.75	5.77	4.3	2.38	4.56
18.91	4.76	5.38	4.34	4.99	6
31.93	3.3	11.74	8.09	3.6	9.04
19.46	4.93	5.42	4.25	5.51	6.45
36.42	3.62	14.02	9.01	4.54	10.51
26.65	4.46	9.2	6.31	5.03	8
33.51	2.98	10.74	7.78	5.47	11.51
22.73	3.37	7.41	6.01	2.76	6.2
16.86	3.6	5.17	4.24	3.6	3.75
29.94	4.51	10.65	7.23	5.12	9.61
22.95	2.9	6.79	5.83	2.41	5.84
29.22	4.76	10.75	6.4	5.65	12.37
35.59	4.42	11.09	8.03	5	11.19
32.8	4.85	9.87	7.2	5.12	9.8
32.66	4.57	10.46	7.07	5.55	9.59
31.56	4.65	10.54	6.94	5.6	9.27
30.62	4.64	10.15	6.71	5.45	8.97
21.32	3.91	8.14	6.01	3.14	6.1
19.23	2.39	6.17	6.36	2.65	5.84
15.12	2.96	5.35	4.37	1.94	4.92
31.65	4.22	10.65	7.22	4.97	9.58
23.92	3.52	7.54	5.86	4.5	5.64
31.03	3.98	10.51	8.25	4.66	8.51
19.14	3.77	6.49	4.97	4.24	5.28
21.8	2.4	6.42	6.32	4.58	6.67
